IN_LINK_ID,OUT_LINK_ID,TURN_RATIO,WEIGHT,EST_TURN_RATIO,EST_TURN_FLOW,TURN_CAPACITY,DAY,TIME_OF_DAY
4932995149329981,49329981941017052,0.92755,1,0.9275500000396468,2202.052098955051,10800,09-Apr-2015,00:00:00
4932995149329981,4932998149329995,0.07245,1,0.07244999996035312,172.00008029235048,3600,09-Apr-2015,00:00:00
4932998349329964,49329964941017051,0,0,0,0.0,10800,09-Apr-2015,00:00:00
4932998349329964,49329964311830187,0,0,1.0,359.69230769230774,3600,09-Apr-2015,00:00:00
94101703949330004,4933000449329998,0,0,0.3754980079681275,1044.0,1044.0,09-Apr-2015,00:00:00
94101703949330004,4933000449329983,0,0,0,0.0,1044.0,09-Apr-2015,00:00:00
94101703949330004,4933000449329960,0,0,0.249003984063745,692.3076923076923,1044.0,09-Apr-2015,00:00:00
94101703949330004,49330004941017053,0,0,0.3754980079681275,1044.0,1044.0,09-Apr-2015,00:00:00
4933001449330004,4933000449329983,0,0,0,0.0,954.0,09-Apr-2015,00:00:00
4933001449330004,4933000449329998,0,0,1.0,104.0,954.0,09-Apr-2015,00:00:00
4933001449330004,4933000449329960,0,0,0,0.0,954.0,09-Apr-2015,00:00:00
4932999849330004,4933000449329983,0,0,0,0.0,985.5,09-Apr-2015,00:00:00
4932999849330004,4933000449329960,0,0,0,0.0,985.5,09-Apr-2015,00:00:00
4932999849330004,49330004941017053,0,0,1.0,172.00008029235048,2124.0000000000005,09-Apr-2015,00:00:00
4933000449329998,4932999849329991,0,0,1.0,1148.0,1844.9999999999998,09-Apr-2015,00:00:00
4933000449329998,4932999849330081,0,0,0,0.0,495.00000000000006,09-Apr-2015,00:00:00
4933000449329998,49329998941017050,0,0,0,0.0,495.00000000000006,09-Apr-2015,00:00:00
4932999549329998,4932999849330004,0,0,1.0,172.00008029235048,1314.0,09-Apr-2015,00:00:00
4932999549329998,4932999849329991,0,0,0,0.0,1314.0,09-Apr-2015,00:00:00
4932999549329998,4932999849330081,0,0,0,0.0,1314.0,09-Apr-2015,00:00:00
4932999549329998,49329998941017050,0,0,0,0.0,1314.0,09-Apr-2015,00:00:00
4932999149329998,4932999849330081,0,0,1.0,472.00000000000006,1134.0,09-Apr-2015,00:00:00
4932999149329998,4932999849330004,0,0,0,0.0,1134.0,09-Apr-2015,00:00:00
4932999149329998,49329998941017050,0,0,0,0.0,1134.0,09-Apr-2015,00:00:00
94101707749329991,49329991941017066,0,0,1.0,472.00000000000006,472.00000000000006,09-Apr-2015,00:00:00
94101707749329991,4932999149329944,0,0,0,0.0,924.0000000000001,09-Apr-2015,00:00:00
94101707749329991,4932999149329998,0,0,0,0.0,924.0000000000001,09-Apr-2015,00:00:00
4932994449329991,4932999149329998,0,0,1.0,472.00000000000006,472.00000000000006,09-Apr-2015,00:00:00
4932994449329991,49329991941017066,0,0,0,0.0,924.0000000000001,09-Apr-2015,00:00:00
4932994449329991,49329991941017078,0,0,0,0.0,924.0000000000001,09-Apr-2015,00:00:00
4932999849329991,49329991941017078,0,0,0,0.0,472.00000000000006,09-Apr-2015,00:00:00
4932999849329991,49329991941017066,0,0,0,0.0,1148.0,09-Apr-2015,00:00:00
4932999849329991,4932999149329944,0,0,1.0,1148.0,1148.0,09-Apr-2015,00:00:00
94101706549329991,49329991941017078,0,0,1.0,1148.0,1148.0,09-Apr-2015,00:00:00
94101706549329991,4932999149329998,0,0,0,0.0,1148.0,09-Apr-2015,00:00:00
94101706549329991,4932999149329944,0,0,0,0.0,472.00000000000006,09-Apr-2015,00:00:00
4932997049329960,4932996049329946,0,0,0.5,908.3076923076923,908.3076923076923,09-Apr-2015,00:00:00
4932997049329960,49329960311830187,0,0,0.5,908.3076923076923,908.3076923076923,09-Apr-2015,00:00:00
4933000449329960,4932996049329946,0,0,1.0,692.3076923076923,1534.1538461538462,09-Apr-2015,00:00:00
4933000449329960,49329960311830187,0,0,0,0.0,1534.1538461538462,09-Apr-2015,00:00:00
4933000449329960,49329960941017075,0,0,0,0.0,1534.1538461538462,09-Apr-2015,00:00:00
4932994649329960,49329960941017075,0,0,0,0.0,1517.5384615384612,09-Apr-2015,00:00:00
4932994649329960,49329960311830187,0,0,0,0.0,404.30769230769226,09-Apr-2015,00:00:00
4932996049329946,4932994649329995,0,0,0,0.0,443.07692307692304,09-Apr-2015,00:00:00
4932996049329946,4932994649329944,0,0,1.0,1600.6153846153845,1600.6153846153845,09-Apr-2015,00:00:00
4932994449329946,4932994649329995,0,0,0,0.0,935.9999999999999,09-Apr-2015,00:00:00
4932994449329946,4932994649329960,0,0,0,0.0,935.9999999999999,09-Apr-2015,00:00:00
4932957849329946,4932994649329944,0,0,0,0.0,1506.461538461538,09-Apr-2015,00:00:00
4932957849329946,4932994649329995,0,0,0,0.0,1506.461538461538,09-Apr-2015,00:00:00
4932957849329946,4932994649329960,0,0,0,0.0,1506.461538461538,09-Apr-2015,00:00:00
4932994649329944,4932994449329936,0,0,0.8021914648212225,1283.9999999999998,1283.9999999999998,09-Apr-2015,00:00:00
4932994649329944,49329944941017047,0,0,0.1978085351787775,316.61538461538476,1283.9999999999998,09-Apr-2015,00:00:00
4932994649329944,4932994449329991,0,0,0,0.0,1283.9999999999998,09-Apr-2015,00:00:00
94101704449329944,4932994449329936,0,0,0,0.0,1283.9999999999998,09-Apr-2015,00:00:00
94101704449329944,4932994449329991,0,0,1.0,472.00000000000006,1283.9999999999998,09-Apr-2015,00:00:00
