IN_LINK_ID,OUT_LINK_ID,SATURATION_FLOW
4932995149329981,49329981941017052,10800
94101704349329951,4932995149329981,10800
94101704149329983,4932998349329964,10800
4932998349329964,49329964941017051,10800
4932995149329981,4932998149329995,3600
4932998349329964,49329964311830187,3600
94101703949330004,4933000449329998,3600
94101703949330004,4933000449329983,3600
94101703949330004,4933000449329960,3600
94101703949330004,49330004941017053,3600
4933001449330004,4933000449329983,3600
4933001449330004,4933000449329998,3600
4933001449330004,4933000449329960,3600
4932999849330004,4933000449329983,3600
4932999849330004,4933000449329960,3600
4932999849330004,49330004941017053,3600
4933000449329998,4932999849329991,3600
4933000449329998,4932999849330081,3600
4933000449329998,49329998941017050,3600
4932999549329998,4932999849330004,3600
4932999549329998,4932999849329991,3600
4932999549329998,4932999849330081,3600
4932999549329998,49329998941017050,3600
4932999149329998,4932999849330081,3600
4932999149329998,4932999849330004,3600
4932999149329998,49329998941017050,3600
94101707749329991,49329991941017066,3600
94101707749329991,4932999149329944,3600
94101707749329991,4932999149329998,3600
4932994449329991,4932999149329998,3600
4932994449329991,49329991941017066,3600
4932994449329991,49329991941017078,3600
4932999849329991,49329991941017078,3600
4932999849329991,49329991941017066,3600
4932999849329991,4932999149329944,3600
94101706549329991,49329991941017078,3600
94101706549329991,4932999149329998,3600
94101706549329991,4932999149329944,3600
4932997049329960,4932996049329946,3600
4932997049329960,49329960311830187,3600
4933000449329960,4932996049329946,3600
4933000449329960,49329960311830187,3600
4933000449329960,49329960941017075,3600
4932994649329960,49329960941017075,3600
4932994649329960,49329960311830187,3600
4932996049329946,4932994649329995,3600
4932996049329946,4932994649329944,3600
4932994449329946,4932994649329995,3600
4932994449329946,4932994649329960,3600
4932957849329946,4932994649329944,3600
4932957849329946,4932994649329995,3600
4932957849329946,4932994649329960,3600
4932994649329944,4932994449329936,3600
4932994649329944,49329944941017047,3600
4932994649329944,4932994449329991,3600
94101704449329944,4932994449329936,3600
94101704449329944,4932994449329991,3600
94101704449329944,4932994449329946,3600
4932999149329944,4932994449329936,3600
4932999149329944,4932994449329946,3600
4932999149329944,49329944941017047,3600
4932993649329944,49329944941017047,3600
4932993649329944,4932994449329991,3600
4932993649329944,4932994449329946,3600
4932994449329936,49329936941017063,3600
4932994449329936,4932993649329933,3600
4932994449329936,49329936941017072,3600
94101707149329936,4932993649329933,3600
94101707149329936,49329936941017063,3600
94101707149329936,4932993649329944,3600
4932989349329936,4932993649329933,3600
4932989349329936,49329936941017072,3600
4932989349329936,4932993649329944,3600
4932993349329936,49329936941017063,3600
4932993349329936,4932993649329944,3600
4932993349329936,49329936941017072,3600
4932993649329933,4932993349329891,3600
4932993649329933,4932993349329576,3600
4932993649329933,49329933941017069,3600
94101706849329933,4932993349329576,3600
94101706849329933,4932993349329891,3600
94101706849329933,4932993349329936,3600
4932957649329933,4932993349329891,3600
4932957649329933,4932993349329936,3600
4932957649329933,49329933941017069,3600
31183018749329585,49329585941017054,3600
31183018749329585,4932958549329578,3600
29895409649329585,49329585941017045,3600
29895409649329585,49329585941017049,3600
29895409649329585,4932958549329578,3600
31183018749329585,49329585941017045,3600
31183018749329585,49329585941017049,3600
4932957849329585,49329585941017054,3600
4932957849329585,49329585941017045,3600
4932957849329585,49329585941017049,3600
4932958549329578,4932957849329576,3600
4932958549329578,4932957849329946,3600
4932958549329578,4932957849329951,3600
94101703849329578,4932957849329576,3600
94101703849329578,4932957849329946,3600
94101703849329578,4932957849329951,3600
94101703849329578,4932957849329585,3600
4932957649329578,4932957849329946,3600
4932957649329578,4932957849329951,3600
4932957649329578,4932957849329585,3600
4932957849329576,4932957649329933,3600
4932957849329576,49329576941017057,3600
4932957849329576,49329576941017060,3600
4932993349329576,49329576941017057,3600
4932993349329576,4932957649329578,3600
4932993349329576,49329576941017060,3600
4932956949329576,4932957649329578,3600
4932956949329576,49329576941017057,3600
4932956949329576,4932957649329933,3600
4932952749329576,4932957649329933,3600
4932952749329576,4932957649329578,3600
4932952749329576,49329576941017060,3600
49329960311830187,31183018749329585,3600
49329964311830187,31183018749329585,3600
4932998149329995,4932999549329998,3600
4932994649329995,4932999549329998,3600
4933000449329983,4932998349329964,3600
4932957849329951,4932995149329981,3600
941017042298954096,29895409649329585,3600
4932999849330081,49330081941017048,3600
94101704049330014,4933001449330004,3600
94101707449329970,4932997049329960,3600
94101706249329893,4932989349329936,3600
4932993349329891,49329891941017046,3600
94101705949329569,4932956949329576,3600
94101705649329527,4932952749329576,3600
