DAY,TIME_OF_DAY,MEDIAN,LOWER_BOUND,UPPER_BOUND
09-Apr-2015,00:00:00,0.00106,0.00056,0.00156
09-Apr-2015,00:05:00,0.00106,0.00056,0.00156
09-Apr-2015,00:10:00,0.00106,0.00056,0.00156
09-Apr-2015,00:15:00,0.00106,0.00056,0.00156
09-Apr-2015,00:20:00,0.00106,0.00056,0.00156
09-Apr-2015,00:25:00,0.00106,0.00056,0.00156
09-Apr-2015,00:30:00,0.00106,0.00056,0.00156
09-Apr-2015,00:35:00,0.00106,0.00056,0.00156
09-Apr-2015,00:40:00,0.00106,0.00056,0.00156
09-Apr-2015,00:45:00,0.00106,0.00056,0.00156
09-Apr-2015,00:50:00,0.00106,0.00056,0.00156
09-Apr-2015,00:55:00,0.00106,0.00056,0.00156
09-Apr-2015,01:00:00,0.00075,0.00025,0.00125
09-Apr-2015,01:05:00,0.00075,0.00025,0.00125
09-Apr-2015,01:10:00,0.00075,0.00025,0.00125
09-Apr-2015,01:15:00,0.00075,0.00025,0.00125
09-Apr-2015,01:20:00,0.00075,0.00025,0.00125
09-Apr-2015,01:25:00,0.00075,0.00025,0.00125
09-Apr-2015,01:30:00,0.00075,0.00025,0.00125
09-Apr-2015,01:35:00,0.00075,0.00025,0.00125
09-Apr-2015,01:40:00,0.00075,0.00025,0.00125
09-Apr-2015,01:45:00,0.00075,0.00025,0.00125
09-Apr-2015,01:50:00,0.00075,0.00025,0.00125
09-Apr-2015,01:55:00,0.00075,0.00025,0.00125
09-Apr-2015,02:00:00,0.00067,0.00017,0.00117
09-Apr-2015,02:05:00,0.00067,0.00017,0.00117
09-Apr-2015,02:10:00,0.00067,0.00017,0.00117
09-Apr-2015,02:15:00,0.00067,0.00017,0.00117
09-Apr-2015,02:20:00,0.00067,0.00017,0.00117
09-Apr-2015,02:25:00,0.00067,0.00017,0.00117
09-Apr-2015,02:30:00,0.00067,0.00017,0.00117
09-Apr-2015,02:35:00,0.00067,0.00017,0.00117
09-Apr-2015,02:40:00,0.00067,0.00017,0.00117
