OBJ_VAL,DAY,TIME_OF_DAY
1.11773664449e-13,09-Apr-2015,00:00:00
2.95117872323e-13,09-Apr-2015,00:05:00
2.41663928892e-13,09-Apr-2015,00:10:00
6.57328851484e-15,09-Apr-2015,00:15:00
1.02955218898e-14,09-Apr-2015,00:20:00
6.22261293018e-15,09-Apr-2015,00:25:00
1.68332569376e-14,09-Apr-2015,00:30:00
5.56173352929e-14,09-Apr-2015,00:35:00
6.51041298493e-14,09-Apr-2015,00:40:00
1.14682268871e-13,09-Apr-2015,00:45:00
1.61986842744e-13,09-Apr-2015,00:50:00
5.55901478513e-14,09-Apr-2015,00:55:00
8.91214351237e-14,09-Apr-2015,01:00:00
3.01537232499e-15,09-Apr-2015,01:05:00
1.09620406657e-13,09-Apr-2015,01:10:00
2.33860127022e-15,09-Apr-2015,01:15:00
1.29895228207e-14,09-Apr-2015,01:20:00
1.82853687074e-14,09-Apr-2015,01:25:00
2.91979661424e-14,09-Apr-2015,01:30:00
1.26623149209e-14,09-Apr-2015,01:35:00
3.17157166352e-14,09-Apr-2015,01:40:00
5.88879355761e-14,09-Apr-2015,01:45:00
2.90879317424e-14,09-Apr-2015,01:50:00
4.1903745778e-14,09-Apr-2015,01:55:00
2.17961960971e-14,09-Apr-2015,02:00:00
1.72416257676e-15,09-Apr-2015,02:05:00
8.782316656e-16,09-Apr-2015,02:10:00
8.76191154847e-16,09-Apr-2015,02:15:00
4.16560463376e-14,09-Apr-2015,02:20:00
2.94005477527e-14,09-Apr-2015,02:25:00
5.72294484523e-14,09-Apr-2015,02:30:00
3.28903374442e-14,09-Apr-2015,02:35:00
1.48039057234e-15,09-Apr-2015,02:40:00
2.02341474716e-15,09-Apr-2015,02:45:00
1.69202699402e-15,09-Apr-2015,02:50:00
1.79669506915e-15,09-Apr-2015,02:55:00
9.98856016104e-16,09-Apr-2015,03:00:00
4.26780445727e-15,09-Apr-2015,03:05:00
3.77808429933e-15,09-Apr-2015,03:10:00
4.41707728468e-15,09-Apr-2015,03:15:00
6.45148708845e-15,09-Apr-2015,03:20:00
1.80837102269e-14,09-Apr-2015,03:25:00
9.78209806435e-15,09-Apr-2015,03:30:00
3.58008016727e-15,09-Apr-2015,03:35:00
3.71275646168e-15,09-Apr-2015,03:40:00
5.50362608184e-15,09-Apr-2015,03:45:00
2.2789587055e-15,09-Apr-2015,03:50:00
4.04238553301e-15,09-Apr-2015,03:55:00
5.23595009891e-14,09-Apr-2015,04:00:00
2.23275044729e-14,09-Apr-2015,04:05:00
4.75691640652e-15,09-Apr-2015,04:10:00
5.55074006203e-05,09-Apr-2015,04:15:00
7.5364646308e-15,09-Apr-2015,04:20:00
1.04300005726e-13,09-Apr-2015,04:25:00
0.000119884416465,09-Apr-2015,04:30:00
0.000119351423101,09-Apr-2015,04:35:00
0.000132453788359,09-Apr-2015,04:40:00
1.01298243858e-14,09-Apr-2015,04:45:00
5.53194860746e-14,09-Apr-2015,04:50:00
1.73444818043e-14,09-Apr-2015,04:55:00
2.54258846054e-14,09-Apr-2015,05:00:00
2.13758737995e-14,09-Apr-2015,05:05:00
1.64767491135e-13,09-Apr-2015,05:10:00
5.13915396174e-14,09-Apr-2015,05:15:00
8.6073025055e-14,09-Apr-2015,05:20:00
2.64100319298e-14,09-Apr-2015,05:25:00
1.52256891059e-14,09-Apr-2015,05:30:00
9.81237094347e-14,09-Apr-2015,05:35:00
5.22285991858e-14,09-Apr-2015,05:40:00
3.18552438466e-14,09-Apr-2015,05:45:00
1.72726594386e-14,09-Apr-2015,05:50:00
1.43967495808e-13,09-Apr-2015,05:55:00
1.0885471169e-14,09-Apr-2015,06:00:00
1.0929281097e-13,09-Apr-2015,06:05:00
1.64686249577e-14,09-Apr-2015,06:10:00
6.16967592847e-15,09-Apr-2015,06:15:00
3.63149391673e-14,09-Apr-2015,06:20:00
3.2376943194e-14,09-Apr-2015,06:25:00
2.33497853802e-14,09-Apr-2015,06:30:00
5.25443565602e-13,09-Apr-2015,06:35:00
2.21732889503e-14,09-Apr-2015,06:40:00
1.08989110056e-13,09-Apr-2015,06:45:00
2.9639380226e-13,09-Apr-2015,06:50:00
3.60119910163e-12,09-Apr-2015,06:55:00
2.1970617019e-13,09-Apr-2015,07:00:00
1.2837695235e-11,09-Apr-2015,07:05:00
1.35868987938e-12,09-Apr-2015,07:10:00
2.45628801947e-12,09-Apr-2015,07:15:00
5.67451375221e-12,09-Apr-2015,07:20:00
2.67625343109e-11,09-Apr-2015,07:25:00
5.59043347587e-12,09-Apr-2015,07:30:00
0.00605729010727,09-Apr-2015,07:35:00
9.63216630565e-11,09-Apr-2015,07:40:00
9.03373300253e-10,09-Apr-2015,07:45:00
2.62980908484e-11,09-Apr-2015,07:50:00
2.07684338391e-11,09-Apr-2015,07:55:00
1.06283973421e-10,09-Apr-2015,08:00:00
6.67899939074e-11,09-Apr-2015,08:05:00
6.43024195838e-11,09-Apr-2015,08:10:00
1.21149292639e-11,09-Apr-2015,08:15:00
3.50596918348e-12,09-Apr-2015,08:20:00
2.08373966585e-12,09-Apr-2015,08:25:00
2.52096824008e-11,09-Apr-2015,08:30:00
5.01820188706e-12,09-Apr-2015,08:35:00
6.70785386176e-13,09-Apr-2015,08:40:00
2.37000137429e-13,09-Apr-2015,08:45:00
8.61588056044e-13,09-Apr-2015,08:50:00
1.42920874179e-12,09-Apr-2015,08:55:00
0.00341778137369,09-Apr-2015,09:00:00
6.57245499285e-13,09-Apr-2015,09:05:00
4.49433563756e-13,09-Apr-2015,09:10:00
3.1179462403e-12,09-Apr-2015,09:15:00
2.16881393513e-13,09-Apr-2015,09:20:00
3.00307905435e-13,09-Apr-2015,09:25:00
1.29283148441e-12,09-Apr-2015,09:30:00
1.81129393076e-12,09-Apr-2015,09:35:00
1.18553601166e-12,09-Apr-2015,09:40:00
1.54363761741e-12,09-Apr-2015,09:45:00
0.0034093224014,09-Apr-2015,09:50:00
0.00325593407042,09-Apr-2015,09:55:00
7.38477280822e-13,09-Apr-2015,10:00:00
6.72940155749e-13,09-Apr-2015,10:05:00
5.01910301018e-13,09-Apr-2015,10:10:00
6.38178049244e-13,09-Apr-2015,10:15:00
7.60013691767e-13,09-Apr-2015,10:20:00
1.86033054907e-12,09-Apr-2015,10:25:00
3.04762821559e-12,09-Apr-2015,10:30:00
9.72484771265e-13,09-Apr-2015,10:35:00
2.0375093647e-12,09-Apr-2015,10:40:00
9.534256594e-13,09-Apr-2015,10:45:00
0.00318074593374,09-Apr-2015,10:50:00
1.39068369648e-12,09-Apr-2015,10:55:00
6.51305074652e-12,09-Apr-2015,11:00:00
3.48723268051e-12,09-Apr-2015,11:05:00
5.2528766712e-12,09-Apr-2015,11:10:00
1.10956044128e-11,09-Apr-2015,11:15:00
1.57671247704e-12,09-Apr-2015,11:20:00
9.01865787467e-12,09-Apr-2015,11:25:00
4.10112534415e-12,09-Apr-2015,11:30:00
1.96106308476e-12,09-Apr-2015,11:35:00
1.42655901867e-11,09-Apr-2015,11:40:00
8.18270079376e-12,09-Apr-2015,11:45:00
4.06484356103e-11,09-Apr-2015,11:50:00
1.80766338096e-11,09-Apr-2015,11:55:00
0.00485411884256,09-Apr-2015,12:00:00
1.53804146308e-11,09-Apr-2015,12:05:00
8.05205931432e-12,09-Apr-2015,12:10:00
7.21463605765e-12,09-Apr-2015,12:15:00
2.45864226223e-11,09-Apr-2015,12:20:00
2.28186047274e-11,09-Apr-2015,12:25:00
5.83033137971e-12,09-Apr-2015,12:30:00
2.0548954548e-11,09-Apr-2015,12:35:00
2.08567010703e-12,09-Apr-2015,12:40:00
1.3606038023e-12,09-Apr-2015,12:45:00
5.53004067092e-11,09-Apr-2015,12:50:00
1.40650360595e-12,09-Apr-2015,12:55:00
4.15227098535e-12,09-Apr-2015,13:00:00
3.88822477524e-11,09-Apr-2015,13:05:00
1.41730359018e-11,09-Apr-2015,13:10:00
2.31625625092e-11,09-Apr-2015,13:15:00
3.12244417016e-11,09-Apr-2015,13:20:00
1.79773470643e-10,09-Apr-2015,13:25:00
1.07817756852e-11,09-Apr-2015,13:30:00
2.70596277847e-11,09-Apr-2015,13:35:00
3.05058123207e-11,09-Apr-2015,13:40:00
5.11539463998e-11,09-Apr-2015,13:45:00
1.77918526525e-11,09-Apr-2015,13:50:00
1.95186523566e-11,09-Apr-2015,13:55:00
1.51239723174e-11,09-Apr-2015,14:00:00
7.36319997305e-12,09-Apr-2015,14:05:00
4.52380393473e-11,09-Apr-2015,14:10:00
1.0291071423e-10,09-Apr-2015,14:15:00
6.44259337815e-11,09-Apr-2015,14:20:00
4.52327720662e-10,09-Apr-2015,14:25:00
0.00593185964256,09-Apr-2015,14:30:00
